,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
TIPS_RANDOM1,"USE COVER, WAIT FOR YOUR SHIELDS TO REGENERATE","USE COBERTURA, ESPERE ATÉ QUE SEUS ESCUDOS SE RECUPEREM",PARA DE MORRER,ИСПОЛЬЗУЙТЕ УКРЫТИЕ ДЛЯ РЕГЕНЕРАЦИИ ЩИТА,,Gehe in Deckung und warte bis deine Schilde sich regeneriert haben.,"UTILISEZ LA COUVERTURE, ATTENDEZ LA RÉGÉNÉRATION DE VOS BOUCLIERS",Ponte a cubierto y espera hasta que tu escudo se regenere        ,,,"GEBRUIK SCHUILPLAATSEN, WACHT TODAT JE SCHILD GEREGENEREED IS.","USA LE COPERTURE, ASPETTA CHE IL TUO SCUDO SI RIGENERI",,使用掩体，等待你的护盾重新恢复,,Znajdź osłonę i zaczekaj na regenerację tarczy,,หาที่หลบ แล้วคอยให้เกราะฟื้นกลับมาก่อน แล้วค่อยออกไปลุยอีกครั้ง.,,,,,"תשתמש במחסה, חכה שהמגן שלך יתרפה.",,"ΧΡΗΣΙΜΟΠΟΙΗΣΤΕ ΚΑΛΥΨΗ, ΠΕΡΙΜΕΝΕΤΕ ΤΙΣ ΑΣΠΙΔΕΣ ΣΑΣ ΝΑ ΞΑΝΑΓΕΜΙΣΟΥΝΕ",,"Araziyi kullan, saklanarak kalkanının yenilenmesini bekle","استخدم الغطاء, وانتظر درعك ليتجدد",,,Прикривайте се докато чакате щитът ви да регенерира,"Naudok objektus, palauk kol atsinaujins skydas"
TIPS_RANDOM2,AIM WITH THE LASER SIGHTS BEFORE SHOOTING,USE A MIRA LASER ANTES DE ATIRAR,DESISTE LOGO NB KKKK,"СТАРАЙТЕСЬ 
ПРИЦЕЛИВАТЬСЯ (ПКМ)
 ПЕРЕД СТРЕЛЬБОЙ",,"Nutze dein Laservisier zum zielen, bevor du schießt.",VISEZ AVEC LE LASER AVANT DE TIRER,Apunta con la mira láser antes de disparar,,,RICHT MET DE LAZER VOORDAT JE SCHIET,"PUNTA COL MIRINO LASER PRIMA DI SPARARE
",,射击前使用激光瞄准器来瞄准,,"Zanim wystrzelisz, wyceluj za pomocą celownika laserowego",,เล็งด้วยศูนย์เล็งเลเซอร์ ก่อนยิง ช่วยให้ยิงแม่นขึ้นนะ,,,,,כוון עם הלייזר לפני ירי,,ΣΗΜΑΔΕΨΤΕ ΜΕ ΤΟ ΛΕΪΖΕΡ ΠΡΙΝ ΠΥΡΟΒΟΛΗΣΕΤΕ,,Ateş etmeden önce lazer noktalayıcıları ile nişan al,,,,Прицелете се с Лазера преди да стреляте.,"Nusitaikyk, paskiau šauk"
TIPS_RANDOM3,THE LASER SIGHT INDICATES YOUR EFFECTIVE RANGE,A MIRA LASER INDICA SEU ALCANCE EFETIVO,"MIRAR PRA Q, SAI ATIRANDO LOGO","ЛАЗЕРНЫЙ
 ЦЕЛЕУКАЗАТЕЛЬ
 ПОКАЗЫВАЕТ 
РАССТОЯНИЕ 
ЭФФЕКТИВНОЙ СТРЕЛЬБЫ",,Dein Laservisier zeigt dir deine Effektive Reichweite.,LE POINTEUR LASER INDIQUE VOTRE PORTÉE EFFICACE,La mira láser indica tu rango efectivo,,,DE LAZER LAAT ZIEN TOT WAAR JE SCHOTEN EFFECTIEF ZIJN,IL MIRINO LASER INDICA LA TUA MASSIMA DISTANZA DI AZIONE,,激光瞄准器能显示你枪支的有效射程,,Celownik laserowy pokazuje efektywny zasięg broni,,ศูนย์เล็งเลเซอร์ จะช่วยบอกให้ทราบถึงระยะการยิง ว่ายิงได้ไกลแค่ไหน.,,,,,כוונת הלייזר מסמנת את המרחק של האפקטיביוט,,ΤΟ ΛΕΪΖΕΡ ΔΕΙΧΝΕΙ ΤΗΝ ΑΠΟΤΕΛΕΣΜΑΤΙΚΗ ΑΠΟΣΤΑΣΗ,,Lazer noktalayıcın geçerli menzilini gösterir,,,,Лазерът индикира дълекобойноста на оръжието ви,Lazeris nusako efektyvų šaudimo atstumą
TIPS_RANDOM4,HIT ENEMIES IN THE CENTER FOR PRECISION DAMAGE,ACERTE INIMIGOS NO CENTRO PARA CAUSAR DANO DE PRECISÃO,DA TIRO NOS BONECO Q ELES MORRE,"ПОПАДАНИЕ ТОЧНО
 В ПРОТИВНИКА 
НАНОСИТ 
ДОПОЛНИТЕЛЬНЫЙ УРОН",,Triff Feinde in der Mitte für Präzisionsschaden.,TOUCHEZ LES ENNEMIS EN LEUR CENTRE POUR DES DÉGÅTS DE PRÉCISION,Golpea a tus oponentes en el centro para causar daño de precision,,,RAAK VIJANDEN IN HET MIDDEN VOOR PRECIEZE SCHADE,COLPISCI I NEMICI AL CENTRO PER I DANNI DI PRECISIONE,,击中敌人的中央获得精准伤害,,Trafiaj przeciwników w środek dla wiekszych obrażeń,,โจมตีศัตรูไปที่ตรงกลาง เพื่อสร้างความเสียหายที่แน่นอน.,,,,,פגע באויבים במרכז בשביל פגיעה/נזק מדויק,,ΧΤΥΠΗΣΤΕ ΤΟΥΣ ΕΧΘΡΟΥΣ ΣΤΟ ΚΕΝΤΡΟ ΓΙΑ ΖΗΜΙΑ ΑΚΡΙΒΕΙΑΣ,,Ekstra hasar için düşmanları ortalarından vur,,,,Оцелете противниците си в центъра за повече щети,Šauk į priešo centrą didesniai žalai
TIPS_RANDOM5,YOU CAN EQUIP UP TO 3 RELICS AT THE SAME TIME,VOCÊ PODE EQUIPAR ATÉ 3 RELÍQUIAS AO MESMO TEMPO,AS LEMBRANÇA SÃO OP PKARAIO,ВЫ МОЖЕТЕ ИСПОЛЬЗОВАТЬ ДО ТРЁХ РЕЛИКВИЙ ОДНОВРЕМЕННО,,Du kannst bis zu 3 Relikte gleichzeitig ausrüsten.,VOUS POUVEZ ÉQUIPER JUSQU'A 3 RELIQUES A LA FOIS,Puedes equipar hasta 3 reliquias al mismo tiempo,,,JE KAN JE MET MAXIMAAL 3 RELIKWIËN UITRUSTEN,PUOI EQUIPAGGIARE FINO A 3 RELIQUIE ALLO STESSO TEMPO,,你一次最多能装备三个遗迹,,Możesz jednocześnie wyposażyć się w 3 relikty,,คุณสามารถใส่ RELIC สูงสุดถึง 3 ชิ้นในคราวเดียวกัน!,,,,,אתה יכול לחמוש עד ל3 פסלים באותו הזמן,,ΜΠΟΡΕΙΤΕ ΝΑ ΕΞΟΠΛΙΣΕΤΕ ΜΕΧΡΙ 3 ΚΕΙΜΗΛΙΑ ΤΑΥΤΟΧΡΟΝΑ,,Bir defada üç Yadigar kullanabilirsin,,,,Може да използвате до 3 реликви по едно и също време,Vienu metu gali būt pasirinkęs tris relikvijas
TIPS_RANDOM6,EACH STAGE HAS A LIMITED SELECTION OF ITEMS AND RELICS TO UNLOCK,CADA FASE TEM UMA SELEÇÃO LIMITADA DE ITEMS E RELÍQUIAS PARA DESTRAVAR,C VAI PERDER UM TEMPÃO DESTRAVANO TUDO KKKK NERD,"КАЖДЫЙ УРОВЕНЬ
ИМЕЕТ СВОЙ НАБОР 
ПРЕДМЕТОВ И 
РЕЛИКВИЙ ДЛЯ 
ОТКРЫТИЯ",,"Jedes Level hat nur eine bestimmte Anzahl an Gegenständen und Relikten, die Freigeschaltet werden können.",CHAQUE STAGE A UN CERTAIN NOMBRE D'OBJETS ET RELIQUES À DÉBLOQUER,Cada nivel tiene un número limitado de objetos y reliquias para desbloquear,,,ELK LEVEL HEEFT EEN GELIMITEERDE HOEVEELHEID ITEMS EN RELIKWIËN DIE JE KAN ONTGRENDELEN,OGNI LIVELLO HA UNA SELEZIONE LIMITATA DI OGGETTI E RELIQUIE DA SBLOCCARE,,,,Każdy poziom posiada ograniczony wybór przedmiotów i reliktów do odblokowania,,แต่ละด่าน จะมีข้อจำกัดในด้านสิ่งของ อาวุธยุทโธปกรณ์ และ RELIC ที่สามารถปลดล็อคการใช้งานได้,,,,,לכל שלב יש בחירה מוגבלת של חפצים ופסלים לפתוח,,ΚΑΘΕ ΠΙΣΤΑ ΕΧΕΙ ΠΕΡΙΟΡΙΣΜΕΝΟ ΑΡΙΘΜΟ ΑΝΤΙΚΕΙΜΕΝΩΝ ΚΑΙ ΚΕΙΜΗΛΙΩΝ ΓΙΑ ΝΑ ΞΕΚΛΕΙΔΩΣΕΤΕ,,,,,,Всяка група нива има лимитирана селекция от предмети за отключване,Kiekvienas scenarijus turi apribotą daigtų ir relikvijų skaičių
TIPS_RANDOM7,UNLOCK EVERYTHING FROM A STAGE BEFORE FOCUSING ON THE NEXT,DESTRAVE TUDO DE UMA FASE ANTES DE FOCAR NA PRÓXIMA,VAI JOGA SEU LOLZINHO VAI HUEAHSEUAHS,"РАЗБЛОКИРУЙТЕ 
ВСЁ НА УРОВНЕ
 ПЕРЕД ПРОХОЖДЕНИЕМ 
СЛЕДУЮЩЕГО",,"Schalte alles in einem Level frei, bevor du dich auf das nächste konzentrierst.",DÉBLOQUE TOUS LES OBJETS D'UN NIVEAU AVANT DE TE CONCENTRER SUR LES AUTRES,Desbloquea todos los objetos de una fase antes de pasar a la siguiente.,,,VERGENDEL ALLES VAN EEN LEVEL VOORDAT JE JE OP DE VOLGENDE STORT,SBLOCCA TUTTO IN UN LIVELLO PRIMA DI FOCALIZZARTI SUL PROSSIMO,,,,Odblokuj wszystko w poziomie zanim skupisz się na kolejnym,,ควรพยายามปลดล็อคทุกสิ่งในด่านนั้นๆ ก่อนไปสู่ด่านถัดไป.,,,,,,,ΞΕΚΛΕΙΔΩΣΤΕ ΤΑ ΠΑΝΤΑ ΑΠΟ ΜΙΑ ΠΙΣΤΑ ΠΡΙΝ ΕΠΙΚΕΝΤΡΩΘΕΙΤΕ ΣΤΗΝ ΕΠΟΜΕΝΗ,,,,,,"Отклчи всики предмети от прървата група нива преди да се фокусираш на следващатата
","Atidartk viską vienam scenarijus, o tik tada judėk į kitą"
TIPS_RANDOM8,DON'T FORGET TO BUY THE CHECKPOINTS AT THE SHIP,NÃO SE ESQUEÇA DE COMPRAR OS ATALHOS NA NAVE,DOTEIRO N SABE JOGA ESSE JOGO N KKK,НЕ ЗАБЫВАЙТЕ ПОКУПАТЬ ТЕЛЕПОРТЫ НА КОРАБЛЕ,,Vergiss nicht dir die Checkpoints auf dem Schiff zu kaufen.,N'OUBLIE PAS D'ACHETER LES CHECKPOINTS DANS LE VAISSEAU,No olvides desbloquear los puntos de control en la nave,,,VERGEET NIET DE CHECKPOINTS OP HET SCHIP TE KOPEN,NON DIMENTICARE DI COMPRARE I PUNTI DI SALVATAGGIO ALLA NAVE,,别忘了在船上购买检查点,,Nie zapomnij o kupieniu punktów kontrolnych na statku,,อย่าลืมซื้อ เช็คพอยท์ ในยานหละ.,,,,,,,ΜΗΝ ΞΕΧΑΣΕΤΕ ΝΑ ΑΓΟΡΑΣΕΤΕ ΤΑ ΣΗΜΕΙΑ ΑΣΦΑΛΕΙΑΣ ΣΤΟ ΠΛΟΙΟ,,,,,,Незабравяите да купите всичките контролни точки в базата,Nepamiršk nusipirkti išsaugojimo vietas laive
TIPS_RANDOM9,MONSTERS AND DUCANS FIGHT EACH OTHER. USE THAT.,MONSTROS E DUCANS LUTAM UNS CONTRA OS OUTROS. USE ISSO.,SE OS BICHO ATIRA NO TEU BONECO ELE MORRE,ПРОТИВНИКИ ДЕРУТСЯ МЕЖДУ СОБОЙ. РАЗВЛЕКАЙТЕСЬ.,,"Monster und Ducaner bekämpfen sich, du sollttest dies ausnutzen.",MONSTRES ET DUCANS SE COMBATTENT ENTRE EUX. PROFITES-EN !,"Los monstruos y los Ducans pelean entre ellos, utiliza eso a tu favor",,,MONSTERS EN DUCANS BEVECHTEN ELKAAR. MAAK DAAR GEBRUIK VAN,I MOSTRI E I DUCANS COMBATTONO TRA DI LORO. APPROFITTANE.,,怪物和Ducans会互相攻击。这一点特性可以加以利用。,,Potwory i dukany walczą ze sobą. Wykorzystaj to.,,สัตว์ร้าย KAMI และ DUCAN นั้นจะสู้กันเอง ลองใช้โอกาสนี้ดู!,,,,,,,ΤΑ ΤΕΡΑΤΑ ΚΑΙ ΟΙ ΠΑΠΙΟΙ ΠΟΛΕΜΟΥΝΕ ΜΕΤΑΞΥ ΤΟΥΣ. ΧΡΗΣΙΜΟΠΟΙΗΣΤΕ ΤΟ ΠΡΟΣ ΟΦΕΛΟΣ ΣΑΣ.,,Canavarlar ve Ducanlar birbiriyle savaşır. Bunu kullan,,,,Чудовищата и Дуканците се бият един срещу друг може да използвате това,"Monstrai ir DUCAN kovoja vienas prieš kita, panaudok tai"
TIPS_RANDOM10,"GRENADES ARE THE BEST WEAPON IN THE GAME, USE THEM WISELY","GRANADAS SÃO A MELHOR ARMA DO JOGO, USE-AS COM CUIDADO","Ô NB, N ESQUECE DE TACAR AS BOMBA VIU KKK",ГРАНАТЫ - ЛУЧШЕЕ ОРУЖИЕ В ИГРЕ. ИСПОЛЬЗУЙТЕ ИХ С УМОМ.,,"Granaten sind die besten Waffen im Spiel, nutze sie weise.","LES GRENADES SONT LES MEILLEURS ARMES DU JEU, UTILISE-LES PRUDEMMENT","Las granadas son las mejores armas en el juego, utilizalas sabiamente.",,,"GRANATEN ZIJN DE BESTE WAPENS IN HET SPEL, GEBRUIK ZE VERSTANDIG","LE GRANATE SONO L'ARMA MIGLIORE NEL GIOCO, USALE CON SAGGEZZA",,,,"Granaty to najlepsza broń w grze, używaj ich rozważnie",,"ระเบิดคืออาวุธที่ดีที่สุดในเกม, ใช้ให้ฉลาดหละ!",,,,,,,ΟΙ ΧΕΙΡΟΒΟΜΒΙΔΕΣ ΕΙΝΑΙ ΤΟ ΚΑΛΥΤΕΡΟ ΟΠΛΟ ΣΤΟ ΠΑΙΧΝΙΔΙ. ΧΡΗΣΙΜΟΠΟΙΗΣΤΕ ΤΕΣ ΜΕ ΣΟΦΙΑ.,,"El bombaları oyundaki en iyi silahlardır, onları iyi kullan",,,,"Гранатите са най-силното уръжие в игарта, използвайте ги разумно!
","Granatos yra geriausias ginklas žaidime, naudok jas su išmintim"
TIPS_ENDLESS1,PRECISION KILLS AND KILL STREAKS GIVE YOU MORE BOUNTY,MORTES EM PRECISÃO OU EM SEQUÊNCIA DÃO MAIS RECOMPENSAS,,ТОЧНЫЕ И МНОЖЕСТВЕННЫЕ УБИЙСТВА ДАЮТ БОЛЬШЕ ЛУТА,,Präzisions-Kills und Tötungsserienserien werden besser Belohnt.,LES TIRS PRÉCIS ET COMBOS DONNENT PLUS DE PRIME,Las Bajas precisas y las Rachas proporcionan botín extra,,,PRECIEZE KILLS EN KILL STREAKS GEVEN JE MEER PREMIE,LE UCCISIONI DI PRECISIONE E LE COMBO DI UCCISIONI TI DANNO PIÚ BOTTINO,,,,Precyzyjne zabójstwa i łańcuchy zabójstw dają ci więcej punktów,,การฆ่าที่แน่นอน และต่อเนื่อง ช่วยให้ได้รับค่าหัวเพิ่มขึ้นนะ!,,,,,,,ΕΞΟΛΟΘΡΕΥΣΕΙΣ ΑΚΡΙΒΕΙΑΣ ΚΑΙ ΑΠΑΝΩΤΕΣ ΕΞΟΛΟΘΡΕΥΣΕΙΣ ΣΑΣ ΔΙΝΟΥΝΕ ΠΕΡΙΣΣΟΤΕΡΗ ΑΜΟΙΒΗ,,,,,,Точните обииства и поредиците ви дават повече пари,"Taiklumas nužudo, o nužudimo kombo duoda daugiau premijos"
TIPS_ENDLESS2,PICKING UP STARS WILL EXTEND YOUR KILL STREAK TIMER,COLETAR ESTRELAS EXTENDERÁ O TEMPO DO SEU COMBO,,ПОДНИМАЙТЕ ЗВЁЗДЫ ЧТОБЫ УВЕЛИЧИТЬ ТАЙМЕР КОМБО,,"Wenn du Sterne einsammelst, erhöht sich dein Ttötungsserien-Timer.",RECOLTER DES ETOILES TE DONNE PLUS DE TEMPS POUR REALISER UN COMBO,Obtener estrellas aumenta el contador de tu racha de bajas actual,,,STERRTJES OPPAKKEN VERLENGEN JE KILL STREAK TIMER,PRENDERE STELLE ESTENDE IL TIMER PER LE COMBO DI UCCISIONI,,捡起星星会延长你的连续击杀计时,,Podnoszenie gwiazd wydłuża twój czas na łączenie zabójstw,,เก็บดาวค่าหัว ช่วยให้ยืดเวลาการฆ่าต่อเนื่องออกไปได้นานขึ้นอีกนิด.,,,,,,,ΜΑΖΕΥΟΝΤΑΣ ΑΣΤΕΡΙΑ ΘΑ ΕΠΕΚΤΕΙΝΕΙ ΤΟ ΧΡΟΝΟΜΕΤΡΟ ΑΠΑΝΩΤΩΝ ΕΞΟΛΟΘΡΕΥΣΕΩΝ,,,,,,"Взимането на звезда ще удължи продължи таймера на вашата поредица
",Renkant žvaigdes kombo laikas pratesiamas
TIPS_ENDLESS3,DON'T FORGET TO UPGRADE YOUR WEAPONS,NÃO SE ESQUEÇA DE MELHORAR SUAS ARMAS,Não esqueça de upar as paradas,НЕ ЗАБЫВАЙТЕ УЛУЧШАТЬ ОРУЖИЕ,,"Vergiss nicht, deine Waffen zu Verbessern.",N'OUBLIE PAS D'AMÉLIORER TES ARMES,No olvides actualizar tus armas,,,VERGEET NIET JE WAPENS TE UPGRADEN,NON DIMENTICARE DI MIGLIORARE LE TUE ARMI,,别忘了升级你的武器,,Nie zapomnij o ulepszaniu broni,,"อย่าลืมอัพเกรด อาวุธยุทโธปกรณ์ของคุณหละ!
",,,,,,,ΜΗΝ ΞΕΧΑΣΕΤΕ ΝΑ ΑΝΑΒΑΘΜΗΣΕΤΕ ΤΑ ΟΠΛΑ ΣΑΣ,,Silahlarını güçlendirmeyi unutma,,,,Не забравяйте да подобравяте оружията си,Nepamiršk pagerint ginklus
TIPS_ENDLESS4,RESOURCES GET MORE EXPENSIVE EVERY TIME YOU BUY THEM,ESTOQUES FICAM MAIS CAROS TODA VEZ QUE SÃO COMPRADOS,,РЕСУРСЫ ДОРОЖАЮТ ПОСЛЕ КАЖДОЙ ПОКУПКИ,,Ressourcen werden bei jedem Einkauf teurer.,LES RESSOURCES DEVIENNENT DE PLUS EN PLUS CHERES,Los recursos se vuelven más caros cada vez que los compras,,,MIDDELEN WORDEN NAARMATE JE ZE KOOPT DUURDER,LE RISORSE DIVENTANO PIÚ COSTOSE OGNI VOLTA CHE LE COMPRI,,,,Zasoby robią się droższe za każdym razem gdy je kupujesz,,ทรัพยากรณ์ จะแพงขึ้นในทุกๆครั้งที่คุณซื้อมัน.,,,,,,,ΤΑ ΥΛΙΚΑ ΓΙΝΟΝΤΑΙ ΠΙΟ ΑΚΡΙΒΑ ΚΑΘΕ ΦΟΡΑ ΠΟΥ ΤΑ ΑΓΟΡΑΖΕΤΕ,,Kaynaklar her satın alışında pahalılanır,,,,Ресурсите стават се по скъпи всеки пут когато купиш един от тях,Resursai pabrangsta su kiekveinu kartu kai juos perki
TIPS_ENDLESS5,HEALTH IS PRECIOUS. KEEP YOUR OVERSHIELDS UP,SUA VIDA É PRECIOSA. TENTE NÃO PERDER SEU ESCUDO,"Se perder escudo vai morrer, se liga no papo reto!","ЗДОРОВЬЕ - ЦЕННЫЙ РЕСУРС, ДЕРЖИТЕ ЩИТ ЗАРЯЖЕННЫМ",,"Gesundheit ist sehr wichtig, behalte besser dein Schild im Auge.","LA VIE EST PRECIEUSE, GARDE TON BOUCLIER ACTIF",Tus puntos de vida son muy valiosos. Mantén tu escudo siempre activo,,,LEVEN IS BELANGRIJK HOU JE OVERSCHILD AAN,"LA VITA È PREZIOSA, MANTIENI IL SOVRASCUDO ATTIVO",,,,"Życie jest cenne, utrzymuj swoją nadtarczę",,พลังชีวิตนั้นสำคัญนะ พยายามเพิ่มเกราะให้มากขึ้นด้วยเกราะพิเศษเข้าไว้.,,,,,,,Η ΥΓΕΙΑ ΕΙΝΑΙ ΠΟΛΥΤΙΜΗ. ΚΡΑΤΗΣΤΕ ΤΙΣ ΥΠΕΡΑΣΠΙΔΕΣ ΣΑΣ ΣΗΚΩΜΕΝΕΣ.,,Can baldan tatlı - Ağır kalkanlarını kaybetme,,,,Живота е много важен. Повдигайте вашия Бонус щит здрав,"Sveikata vertinga, neduok, kad skydas išsijungtu"
TIPS_ENDLESS6,THINK ABOUT AMMO TYPE FOCUS BEFORE INVESTING IN WEAPON UPGRADES,"ANTES DE INVESTIR EM MELHORIAS, PENSE EM QUAL O TIPO DE MUNIÇÃO VOCÊ DARÁ ÊNFASE",Antes de uppar pense em que vai uppar!,"ПЕРЕД УЛУЧШЕНИЕМ ОРУЖИЯ, ОПРЕДЕЛИТЕСЬ С ТИПОМ БОЕПРИПАСОВ",,"Denke an die verschiedenen Munitionstypen, bevor du deine Waffen verbesserst.",PENSE AU TYPE DE MUNITION AVANT LES AMELIORATIONS D'ARMES,Piensa en el tipo de munición antes de invertir en actualizaciones de armas,,,DENK AAN MINUTIE-TYPE VOORDAT JE IN WAPENS INVESTEERD,PENSA BENE AL TIPO DI MUNIZIONI PRIMA DI INVESTIRE TUTTO PER MIGLIORARE UN ARMA ,,,,Pomyśl o rodzaju skupienia przed inwestowaniem w ulepszenia broni,,ควรตรวจดูชนิดของกระสุนปืนนั้นๆให้ดี ก่อนจะทำการอัพเกรดใดๆ.,,,,,,,ΣΚΕΦΤΕΙΤΕ ΓΙΑ ΤΟΝ ΤΥΠΟ ΠΥΡΟΜΑΧΙΚΩΝ ΠΡΙΝ ΕΠΕΝΔΥΣΕΤΕ ΣΕ ΑΝΑΒΑΘΜΗΣΗ ΟΠΛΩΝ,,,,,,Мисли за фокуса върху вида на амониция преди да инвестираш в подобрения на оръжията си,"Pagalvok apie kulkų tipą, susikaupk prieš investuojant į ginklo pagerinimą"
TIPS_ENDLESS7,ENDLESS IS ABOUT LONG-TERM PLANNING,NO MODO INFINITO É NECESSÁRIO PLANEJAR À LONGO PRAZO,,БЕСКОНЕЧНЫЙ РЕЖИМ - ЭТО НАДОЛГО,,Beim Endlosspiel geht es um die Langzeit Planung.,LE MODE SANS FIN EST AVANT TOUT DE LA GESTION A LONG TERME,En el Modo Infinito es necesario pensar a largo plazo,,,EINDELOOS GAAT OM LANGE TERMIJN PLANNING,LA MODALITÁ INFINITA RICHIEDE UNA PIANIFICAZIONE A LUNGO TERMINE,,,,Tryb bez końca polega na długoterminowym planowaniu,,โหมดไร้ที่สิ้นสุดนั้น ควรมีการวางแผนระยะยาว ก่อนจะกระทำการใดๆ.,,,,,,,ΤΟ ΑΤΕΛΕΙΩΤΟ ΕΙΝΑΙ ΓΙΑ ΜΑΚΡΟΧΡΟΝΙΟ ΣΧΕΔΙΑΣΜΟ,,Sonsuz modda uzun vade planına önem ver,,,,Безкеаен е за дълго обмисляне.,Nuotykis be pabaigos yra apie ilgalaikį planavimą
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUD_SPACEHEART,SPACEHEART,CORAÇÃO DO ESPAÇO,AVIÃO,SPACEHEART,SPACEHEART,SPACEHEART,SPACEHEART,Spaceheart,Vesmírné srdce,SPACEHEART,RUIMTEHART,SPACEHEART,SPACEHEART,SPACEHEART,SPACEHEART,"Kosmiczne Serce
",SPACEHEART,SPACEHEART,SPACEHEART,SPACEHEART,SPACEHEART,SPACEHEART,SPACEHEART,RYMDHJÄRTA,ΚΑΡΔΙΑ ΣΚΑΦΟΥΣ,SPACEHEART,SPACEHEART,SPACEHEART,SPACEHEART,AVARUUSSYDÄN,"Космическо сърце
",KOSMOSO ŠIRDIS
HUD_SHOP,THE SHOP,A LOJA,BOCA,МАГАЗИН,THE SHOP,Der Laden,LE SHOP,La Tienda,Obchod,THESHOP,DE WINKEL,"IL NEGOZIO
",THE SHOP,商店,THE SHOP,Sklep,THE SHOP,THE SHOP,THE SHOP,THE SHOP,THE SHOP,THE SHOP,THE SHOP,AFFÄREN,ΤΟ ΚΑΤΑΣΤΗΜΑ,THE SHOP,DÜKKAN,THE SHOP,THE SHOP,KAUPPA,Магазина,PARDUOTUVĖ
HUD_ENDLESS_SCORE,ENDLESS SCORE,PONTUAÇÃO,NERDICE TOTAL,СЧЁТ (БЕСКОНЕЧНЫЙ),ENDLESS SCORE,ENDLESS SCORE,SCORE SANS FIN,Puntaje en Modo Infinito,Nekonečný mód Skóre,ENDLESSSCORE,EINDELOOS SCORE,PUNTEGGIO MODALITÁ INFINITA,ENDLESS SCORE,无尽模式得分,ENDLESS SCORE,Wynik trybu bez końca,ENDLESS SCORE,คะแนนโหมด ไร้ที่สิ้นสุด,ENDLESS SCORE,ENDLESS SCORE,ENDLESS SCORE,ENDLESS SCORE,ENDLESS SCORE,OÄNDLIG POÄNG,ΣΚΟΡ ΑΤΕΛΕΙΩΤΟΥ,ENDLESS SCORE,SONSUZ SKOR,ENDLESS SCORE,ENDLESS SCORE,LOPUTTOMAN TILAN PISTEET,Резултат от безкраен,NUOTYKIO BE PABAIGOS TAŠKAI
HUD_ENDLESS_TIME,RUN TIME,TEMPO DA PARTIDA,QTO TEMPO PERDEU,RUN TIME,RUN TIME,RUN TIME,TEMPS DE PARTIE,Tiempo de la partida,Čas běhu,RUNTIME,RUN TIJD,TEMPO DI GIOCO,RUN TIME,RUN TIME,RUN TIME,Czas przejścia,RUN TIME,เวลาโหมดไร้ที่สิ้นสุด,RUN TIME,RUN TIME,RUN TIME,RUN TIME,RUN TIME,KÖRTID,ΣΥΝΟΛΙΚΟΣ ΧΡΟΝΟΣ,RUN TIME,KOŞU ZAMANI,RUN TIME,RUN TIME,PELIAIKA,"Време за завършване
",PRABĖGIMO LAIKAS
HUD_ENDLESS_SHOP,ENDLESS SHOP,LOJA INFINITA,BOCA SEM FIM,ENDLESS SHOP,ENDLESS SHOP,ENDLESS SHOP,MAGASIN SANS FIN,Tienda Infinita,Nekonečný obchod,ENDLESSSHOP,EINDELOOS WINKEL,NEGOZIO MODALITÁ INFINITA,ENDLESS SHOP,无尽模式商店,ENDLESS SHOP,Sklep trybu bez końca,ENDLESS SHOP,ร้านค้าไร้ที่สิ้นสุด,ENDLESS SHOP,ENDLESS SHOP,ENDLESS SHOP,ENDLESS SHOP,ENDLESS SHOP,OÄNDLIG AFFÄR,ΚΑΤΑΣΤΗΜΑ ΑΤΕΛΕΙΩΤΟΥ,ENDLESS SHOP,SONSUZ DÜKKAN,ENDLESS SHOP,ENDLESS SHOP,LOPUTTOMAN TILAN KAUPPA,"Магазин на безкраен
",NUOTYKIO BE PABAIGOS PARDUOTUVĖ
HUD_STAGE,STAGE,FASE,FAZE,STAGE,ステージ,Level,STAGE,Nivel,Úroveň,STAGE,LEVEL,LIVELLO,STAGE,关卡,STAGE,Poziom,STAGE,ด่าน,STAGE,STAGE,STAGE,STAGE,STAGE,NIVÅ,ΠΙΣΤΑ,STAGE,Bölüm,STAGE,STAGE,TASO,"Ниво
",SCENA
